刑法学（1）,202020212030160000102,1-17周 星期一 第9-10节 汇文楼H1-102,1-17周 星期四 第9-10节 汇文楼H1-102,"蒋慧玲"
刑法学（1）,202020212030160000103,1-17周 星期一 第9-10节 汇文楼H2-204,1-17周 星期五 第11-12节 汇文楼H2-204,"周娅"
刑法学（1）,202020212030160000104,1-17周 星期三 第3-4节 汇文楼H1-204,1-17周 星期一 第3-4节 汇文楼H1-204,"罗旭红"
刑法学（1）,202020212030160000105,1-17周 星期一 第7-8节 汇文楼H-03,1-17周 星期三 第7-8节 汇文楼H-03,"吴学斌,乔远"
云计算工程,202020212150461000101,1-18周 星期四 第7-8节 致理楼L1-302,1-18周 星期四 第9-10节 南区计算机大楼241,"周池"
电磁场与电磁波,202020212130031000101,1-17周 星期四 第3-5节 致理楼L3-313,"周晓为"
电磁场与电磁波,202020212130031000102,1-17周 星期五 第3-5节 致理楼L3-317,"周晓为"
电磁场与电磁波,202020212130031000103,1-17周 星期五 第6-8节 致理楼L3-409,"袁涛"
电磁场与电磁波,202020212130031000104,1-17周 星期二 第3-5节 致理楼L3-411,"袁涛"
电磁场与电磁波,202020212130031000105,1-17周 星期五 第6-8节 致理楼L3-312,"张龙"
电磁场与电磁波,202020212130031000106,1-17周 星期四 第3-5节 致理楼L3-316,"王世伟"
电磁场与电磁波,202020212130031000107,1-17周 星期二 第6-8节 致理楼L3-316,"何业军"
电磁场与电磁波,202020212130031000108,1-17周 星期四 第3-5节 致理楼L3-312,"徐铭"
社会统计学,202020212030118000101,1-17周 星期一 第3-4节 汇文楼H1-301,1-17周 星期三 第3-4节 汇文楼H1-301,"舒玢玢"
社会统计学,202020212030118000102,1-17周 星期四 第9-10节 致理楼L3-315,1-17周 星期二 第3-4节 致理楼L3-315,"徐拓倩"
房地产项目策划实务,202020212090197000901,1-17周 星期三 9-10节 ,1-18周(单) 星期五 3-4节 致理楼L1-402,"袁丽丽,莫力科"
房地产项目策划实务,202020212090197000902,1-17周 星期三 7-8节 ,2-16周(双) 星期五 3-4节 致理楼L1-402,"袁丽丽,莫力科"
形而上学,202020212010698000101,1-17周 星期一 第1-2节 汇文楼H1-301,"陈星群"
单片机与嵌入式系统,202020212160022000201,1-17周 星期三 第3-4节 南区信工学院N411,1-17周 星期三 第5-5节 南区信工学院N411,"潘志铭,吴国城"
单片机与嵌入式系统,202020212160022000202,1-17周 星期一 第3-4节 南区信工学院N411,1-17周 星期一 第5-5节 南区信工学院N411,"潘志铭,吴国城"
单片机与嵌入式系统,202020212160022000203,1-17周 星期三 第3-4节 南区电子学院大楼102,1-17周 星期三 第5-5节 南区电子学院大楼102,"叶文彬"
单片机与嵌入式系统,202020212160022000204,1-17周 星期三 第7-8节 南区电子学院大楼102,1-17周 星期三 第9-9节 南区电子学院大楼102,"叶文彬"
商品学,202020212040266000104,1-17周 星期三 第6-8节 汇文楼H1-102,"包江华"
建筑抗震设计,202020212090132000101,1-17周 星期二 第7-8节 致理楼L2-105,"王刚"
建筑抗震设计,202020212090132000102,1-17周 星期二 第9-10节 致理楼L3-414,"王刚"
建筑抗震设计,202020212090132000103,1-17周 星期三 第7-8节 致理楼L2-104,"李利孝"
建筑抗震设计,202020212090132000104,1-17周 星期二 第3-4节 致理楼L2-409,"梅柳"
实变函数与泛函分析,202020212190154000101,1-17周 星期三 第7-8节 汇紫楼C507,1-17周 星期一 第3-4节 汇紫楼C507,"余晓辉"
实变函数与泛函分析,202020212190154000102,1-17周 星期三 第1-2节 汇紫楼B313,1-17周 星期五 第3-4节 汇紫楼B313,"黎泉荣"
日语（2）（二外）,202020212070035000101,1-17周 星期二 第9-10节 汇文楼H5-304,1-17周 星期五 第9-10节 汇文楼H5-304,"董国民"
日语（2）（二外）,202020212070035000102,1-17周 星期二 第7-8节 汇文楼H5-304,1-17周 星期五 第7-8节 汇文楼H5-304,"董国民"
工程导论,202020212280100000301,1-9周 星期二 第1-2节 致理楼L3-308,"邬文慧"
工程导论,202020212280100000302,1-9周 星期五 第1-2节 致理楼L3-309,"陈哲"
工程导论,202020212280100000303,1-9周 星期二 第7-8节 致理楼L3-416,"邬文慧"
工程导论,202020212280100000304,1-9周 星期五 第9-10节 致理楼L3-308,"李昊东"
工程导论,202020212280100000305,1-9周 星期四 第7-8节 致理楼L3-316,"钟世达"
工程导论,202020212280100000306,1-9周 星期五 第3-4节 致理楼L3-316,"杨晴"
工程导论,202020212280100000307,1-9周 星期五 第1-2节 致理楼L3-312,"杨晴"
工程导论,202020212280100000308,1-9周 星期二 第3-4节 致理楼L3-312,"王兰"
工程导论,202020212280100000309,1-9周 星期五 第3-4节 致理楼L3-314,"王兰"
工程导论,202020212280100000310,1-9周 星期五 第3-4节 致理楼L3-313,"陈哲"
工程导论,202020212280100000311,1-9周 星期五 第7-8节 致理楼L3-317,"李昊东"
工程导论,202020212280100000312,1-9周 星期四 第7-8节 致理楼L3-313,"李文廷"
工程导论,202020212280100000313,1-9周 星期四 第9-10节 致理楼L3-313,"李文廷"
法律专业英语,202020212030031000101,1-17周 星期三 第11-12节 汇文楼H2-301,"乔远"
人力资源战略与规划,202020212040844000101,1-17周 星期二 第9-10节 汇文楼H2-301,"苏方国"
人力资源战略与规划,202020212040844000102,1-17周 星期二 第7-8节 汇文楼H3-404,"苏方国"
管理沟通,202020212040850000101,1-17周 星期二 第1-2节 汇文楼H1-101,"张转玲"
管理沟通,202020212040850000102,1-17周 星期二 第3-4节 汇文楼H3-404,"张转玲"
会计学原理,202020212090108000101,1-17周 星期二 第1-2节 致理楼L3-309,"米旭明"
会计学原理,202020212090108000102,1-17周 星期二 第3-4节 致理楼L3-318,"米旭明"
法医学,202020212030034000101,1-17周 星期三 第9-10节 汇文楼H1-303,"林伟强"
法医学,202020212030034000102,1-17周 星期三 第11-12节 汇文楼H1-202,"林伟强"
哈耶克自由主义研究,202020212030062000101,1-17周 星期一 第7-8节 致理楼L3-304,"马云驰"
经济学原理,202020212090176000101,1-17周 星期一 第3-5节 致理楼L2-406,"王刚"
经济学原理,202020212090176000102,1-17周 星期五 第3-5节 致理楼L2-410,"王刚"
无线通信技术,202020212130315000201,1-17周 星期五 第7-8节 致理楼L3-418,"何春龙"
无线通信技术,202020212130315000202,1-17周 星期五 第3-4节 致理楼L3-413,"何春龙"
社会化媒体营销,202020212040750000101,1-17周 星期四 第3-4节 汇文楼H3-404,"刘雁妮"
社会化媒体营销,202020212040750000102,1-17周 星期四 第1-2节 汇文楼H1-405,"刘雁妮"
流体力学,202020212090332000101,1-17周 星期四 第11-12节 致理楼L3-315,"刘建"
流体力学,202020212090332000102,1-17周 星期三 第11-12节 致理楼L3-315,"刘建"
流体力学,202020212090332000103,1-17周 星期五 第9-10节 致理楼L3-315,"周韬"
流体力学,202020212090332000104,1-17周 星期五 第3-4节 致理楼L3-411,"周韬"
国际公法学,202020212030047000101,1-17周 星期一 第11-13节 汇文楼H1-202,"尹玉海"
国际公法学,202020212030047000102,1-17周 星期一 第11-13节 汇文楼H2-301,"张英"
国际公法学,202020212030047000103,1-17周 星期二 第11-13节 汇文楼H2-303,"张英"
国际公法学,202020212030047000104,1-17周 星期一 第1-2节 汇文楼H2-205,1-18周(单) 星期四 第3-4节 汇文楼H2-205,"李洪涛"
国际公法学,202020212030047000105,1-17周 星期一 第3-4节 汇文楼H1-202,2-16周(双) 星期四 第3-4节 汇文楼H1-202,"李洪涛"
国际公法学,202020212030047000106,1-17周 星期一 第9-10节 汇文楼H2-203,1-18周(单) 星期四 第1-2节 汇文楼H2-203,"李洪涛"
国际公法学,202020212030047000107,1-17周 星期五 第3-5节 汇文楼H2-205,"龙杰"
国际公法学,202020212030047000108,1-17周 星期五 第11-13节 汇文楼H2-304,"龙杰"
国际公法学,202020212030047000109,1-17周 星期一 第11-12节 汇文楼H1-102,1-18周(单) 星期四 第7-8节 汇文楼H1-102,"李洪涛"
国际公法学,202020212030047000110,2-16周(双) 星期四 第1-2节 汇文楼H1-305,1-17周 星期一 第7-8节 汇文楼H1-305,"李洪涛"
基督教哲学,202020212010507000101,1-17周 星期五 第7-8节 汇文楼H1-302,"葛欢欢"
新闻摄影,202020212080196000101,1-17周 星期五 第2-2节 传播学院L7-301,1-17周 星期五 第3-4节 传播学院L7-301,"YE CHANGQIAN"
新闻摄影,202020212080196000102,1-17周 星期五 第7-8节 传播学院L7-301,1-17周 星期五 第6-6节 传播学院L7-301,"YE CHANGQIAN"
民法学（1）-民法总论,202020212030089000101,1-17周 星期三 第6-8节 汇文楼H1-301,"傅静坤"
民法学（1）-民法总论,202020212030089000102,1-17周 星期二 第3-5节 汇文楼H1-302,"赵明昕"
民法学（1）-民法总论,202020212030089000103,1-17周 星期一 第3-5节 汇文楼H1-303,"薛波"
民法学（1）-民法总论,202020212030089000104,1-17周 星期一 第3-5节 汇文楼H2-201,"魏启证"
民法学（1）-民法总论,202020212030089000105,1-17周 星期一 第11-13节 汇文楼H1-104,"魏启证"
中外名记者研究,202020212080248000101,1-17周 星期三 第1-2节 传播学院L7-301,"黄春平"
出镜现场报道,202020212080480000101,1-17周 星期四 第2-2节 传播学院L7-204,1-17周 星期四 第3-4节 传播学院L7-204,"YE CHANGQIAN"
出镜现场报道,202020212080480000102,1-17周 星期四 第6-6节 传播学院L7-204,1-17周 星期四 第7-8节 传播学院L7-204,"YE CHANGQIAN"
ERP理论与实践,202020212040430000103,1-17周 星期四 第3-4节 汇文楼H6-402,1-17周 星期四 第5-5节 汇文楼H6-402,"叶斌"
ERP理论与实践,202020212040430000104,1-17周 星期二 第6-6节 汇文楼H6-402,1-17周 星期二 第7-8节 汇文楼H6-402,"赵洋"
ERP理论与实践,202020212040430000105,1-17周 星期三 第6-6节 汇文楼H6-402,1-17周 星期三 第7-8节 汇文楼H6-402,"赵洋"
心理测量学,202020212120702000203,1-17周 星期三 第6-8节 致理楼L3-306,"迟新丽"
建筑表达,202020212100219000101,1-17周 星期五 第7-8节 汇文楼H-03,"彭小松,艾登"
高层建筑结构设计,202020212090259000101,1-17周 星期二 第3-4节 致理楼L2-406,"周晓青"
高层建筑结构设计,202020212090259000102,1-17周 星期二 第3-4节 致理楼L2-410,"周英武"
高层建筑结构设计,202020212090259000103,1-17周 星期二 第3-4节 致理楼L2-107,"管民生"
高层建筑结构设计,202020212090259000104,1-17周 星期二 第7-8节 致理楼L2-104,"管民生"
法理学,202020212030019000101,1-17周 星期一 第1-2节 汇文楼H1-305,1-17周 星期三 第7-8节 汇文楼H1-305,"刘美希"
法理学,202020212030019000102,1-17周 星期一 第3-4节 汇文楼H1-304,1-17周 星期三 第9-10节 汇文楼H1-304,"刘美希"
法理学,202020212030019000103,1-17周 星期一 第9-10节 汇文楼H2-205,1-17周 星期三 第7-8节 汇文楼H2-205,"王栋"
法理学,202020212030019000104,1-17周 星期一 第11-12节 汇文楼H1-204,1-17周 星期三 第9-10节 汇文楼H1-204,"王栋"
法理学,202020212030019000105,1-17周 星期二 第11-12节 汇文楼H1-101,1-17周 星期四 第7-8节 汇文楼H1-101,"宋旭光,陈曦"
法理学,202020212030019000106,1-17周 星期二 第13-14节 汇文楼H1-101,1-17周 星期四 第9-10节 汇文楼H1-101,"宋旭光,陈曦"
统计学原理,202020212190199003101,1-17周 星期三 第1-2节 汇紫楼C409,"杨凌"
政治学导论,202020212040378000101,1-17周 星期二 第6-8节 汇文楼H1-204,"郑维东"
政治学导论,202020212040378000102,1-17周 星期五 第3-5节 汇文楼H1-304,"郑维东"
大学英语（艺体类）（2）,202020212520063000201,1-17周 星期一 第1-2节 师院A409,"卢莉"
大学英语（艺体类）（2）,202020212520063000202,1-17周 星期一 第1-2节 师院A508,"冯游泳"
大学英语（艺体类）（2）,202020212520063000203,1-17周 星期一 第1-2节 师院A509,"钟慧敏"
大学英语（艺体类）（2）,202020212520063000204,1-17周 星期一 第1-2节 师院A510,"肖洒"
大学英语（艺体类）（2）,202020212520063000205,1-17周 星期一 第3-4节 师院A409,"卢莉"
大学英语（艺体类）（2）,202020212520063000206,1-17周 星期一 第3-4节 师院A508,"冯游泳"
大学英语（艺体类）（2）,202020212520063000207,1-17周 星期一 第3-4节 师院A509,"钟慧敏"
大学英语（艺体类）（2）,202020212520063000208,1-17周 星期一 第3-4节 师院A510,"肖洒"
大学英语（艺体类）（2）,202020212520063000210,1-17周 星期三 第1-2节 师院A409,"卢莉"
大学英语（艺体类）（2）,202020212520063000211,1-17周 星期三 第1-2节 师院A508,"冯游泳"
大学英语（艺体类）（2）,202020212520063000212,1-17周 星期三 第1-2节 师院A509,"钟慧敏"
大学英语（艺体类）（2）,202020212520063000213,1-17周 星期三 第1-2节 师院A510,"艾龙江"
大学英语（艺体类）（2）,202020212520063000214,1-17周 星期三 第1-2节 汇紫楼A205,"张新颖"
大学英语（艺体类）（2）,202020212520063000215,1-17周 星期三 第3-4节 师院A409,"卢莉"
大学英语（艺体类）（2）,202020212520063000216,1-17周 星期三 第3-4节 师院A508,"冯游泳"
大学英语（艺体类）（2）,202020212520063000217,1-17周 星期三 第3-4节 师院A509,"钟慧敏"
大学英语（艺体类）（2）,202020212520063000218,1-17周 星期三 第3-4节 师院A510,"艾龙江"
劳动和社会保障法学,202020212030077000101,1-17周 星期四 第7-8节 汇文楼H2-301,"翟玉娟"
劳动和社会保障法学,202020212030077000102,1-17周 星期四 第9-10节 汇文楼H2-204,"翟玉娟"
劳动和社会保障法学,202020212030077000103,1-17周 星期五 第7-8节 汇文楼H2-204,"翟玉娟"
劳动和社会保障法学,202020212030077000104,1-17周 星期五 第9-10节 汇文楼H2-304,"翟玉娟"
税法,202020212030138000101,1-17周 星期五 第1-2节 汇文楼H2-304,"马晶"
税法,202020212030138000102,1-17周 星期五 第3-4节 汇文楼H2-301,"马晶"
交互设计（2）,202020212050199001401,1-14周 星期三 第1-4节 艺术学院L7-724,"陈昕"
土木工程结构试验与检测,202020212090473000101,1-17周 星期二 第9-10节 致理楼L3-413,"寇世聪,洪舒贤"
土木工程结构试验与检测,202020212090473000102,1-17周 星期二 第7-8节 致理楼L2-107,"寇世聪,洪舒贤"
土木工程结构试验与检测,202020212090473000103,1-17周 星期一 第9-10节 致理楼L3-318,"洪舒贤,占宝剑"
土木工程结构试验与检测,202020212090473000104,1-17周 星期三 第7-8节 致理楼L2-105,"洪舒贤,占宝剑"
国际投资法,202020212030059000101,1-17周 星期五 第1-2节 汇文楼H2-203,"盛建明"
Web开发及人机交互导论,202020212150309000101,1-17周 星期三 第11-12节 南区计算机大楼328,1-17周 星期三 第13-14节 南区计算机大楼328,"李俊杰"
前沿技术讲座,202020212130126000101,1-17周 星期二 第7-8节 致理楼L3-314,"全智,邓磊,马嫄"
前沿技术讲座,202020212130126000102,1-17周 星期四 第9-10节 致理楼L3-318,"张龙,王世伟"
前沿技术讲座,202020212130126000103,1-17周 星期四 第7-8节 致理楼L3-418,"王朔遥"
前沿技术讲座,202020212130126000104,1-17周 星期二 第9-10节 致理楼L3-409,"李文廷"
政府公共关系学,202020212040369000101,1-17周 星期一 第9-10节 汇文楼H1-405,"赵宇峰"
政府公共关系学,202020212040369000102,1-17周 星期二 第9-10节 汇文楼H2-402,"赵宇峰"
公益营销,202020212080574000101,1-17周 星期四 第6-6节 传播学院L7-404,1-17周 星期四 第7-8节 传播学院L7-404,"华薇"
公益营销,202020212080574000102,1-17周 星期五 第7-8节 传播学院L7-404,1-17周 星期五 第6-6节 传播学院L7-404,"华薇"
民法学（3）-债权法,202020212030094000101,1-17周 星期一 第7-8节 汇文楼H2-302,1-17周 星期三 第3-4节 汇文楼H2-302,"钟明霞"
民法学（3）-债权法,202020212030094000102,1-17周 星期二 第3-4节 汇文楼H2-201,1-17周 星期五 第7-8节 汇文楼H2-201,"丁南"
民法学（3）-债权法,202020212030094000103,1-17周 星期一 第7-8节 汇文楼H1-202,1-17周 星期三 第7-8节 汇文楼H1-202,"王茂祺"
民法学（3）-债权法,202020212030094000104,1-17周 星期二 第3-4节 汇文楼H1-204,1-17周 星期四 第3-4节 汇文楼H1-204,"吕成龙"
交通设计,202020212090265000101,1-17周 星期二 第1-2节 致理楼L3-508,"王京元"
工程力学,202020212090323000101,1-18周(单) 星期四 7-8节 ,1-17周 星期二 7-8节 致理楼L2-411,1-17周 星期四 3-4节 致理楼L2-411,"龙旭"
工程力学,202020212090323000102,1-17周 星期三 7-8节 致理楼L1-203,1-18周(单) 星期五 1-2节 ,1-17周 星期二 3-4节 致理楼L1-203,"黄文"
工程力学,202020212090323000103,1-17周 星期二 7-8节 致理楼L3-414,1-17周 星期四 7-8节 致理楼L3-414,2-16周(双) 星期五 1-2节 ,"黄文"
国际商事仲裁,202020212030056000101,1-17周 星期五 3-4节 汇文楼H1-501,"韩平"
国际商事仲裁,202020212030056000102,1-17周 星期五 1-2节 汇文楼H1-501,"韩平"
运筹学,202020212040359000101,1-17周 星期五 第3-5节 汇文楼H1-301,"杨雯,陈智民"
运筹学,202020212040359000102,1-17周 星期三 第3-5节 汇文楼H1-304,"杨雯,陈智民"
运筹学,202020212040359000103,1-17周 星期四 第3-5节 汇文楼H1-205,"杨雯,陈智民"
园林工程技术,202020212100246000101,1-9周 星期二 第7-10节 汇紫楼C208,"陈义勇,胡金豆"
知识管理,202020212040821000101,1-17周 星期三 第9-10节 汇文楼H-01,"杨龙芳"
生态建筑学,202020212100111000101,1-17周 星期四 第7-8节 汇文楼H-03,"崔冬瑾,谢晓欢"
交通地理信息系统,202020212100328000101,1-17周 星期一 第6-8节 致理楼L2-501,"张星"
法语（1）（二外）,202020212070028000101,1-17周 星期二 第9-10节 汇文楼H2-503,1-17周 星期四 第11-12节 汇文楼H2-503,"周家兴"
微型计算机技术,202020212130197000101,1-17周 星期二 第7-9节 致理楼L3-313,2-16周(双) 星期五 第9-10节 南区信工学院N607,"骆剑平"
微型计算机技术,202020212130197000102,1-17周 星期三 第7-9节 致理楼L3-316,2-16周(双) 星期五 第7-8节 南区信工学院N607,"骆剑平"
微型计算机技术,202020212130197000103,1-17周 星期二 第3-5节 致理楼L3-314,2-16周(双) 星期二 第1-2节 南区信工学院N607,"康莉"
微型计算机技术,202020212130197000104,1-17周 星期二 第1-2节 致理楼L3-317,2-16周(双) 星期四 第1-2节 南区信工学院N607,1-18周(单) 星期四 第1-2节 致理楼L3-317,"蔡茂国"
微型计算机技术,202020212130197000105,1-17周 星期二 第1-2节 致理楼L3-316,1-18周(单) 星期四 第1-2节 南区信工学院N607,2-16周(双) 星期四 第1-2节 致理楼L3-316,"张沛昌"
微型计算机技术,202020212130197000106,1-17周 星期二 第3-4节 致理楼L3-416,2-16周(双) 星期四 第3-4节 致理楼L3-416,1-18周(单) 星期四 第3-4节 南区信工学院N607,"张沛昌"
微型计算机技术,202020212130197000107,1-17周 星期一 第7-8节 致理楼L3-317,2-16周(双) 星期三 第7-8节 致理楼L3-317,1-18周(单) 星期三 第7-8节 南区信工学院N607,"邓磊"
微型计算机技术,202020212130197000108,1-17周 星期二 第1-2节 致理楼L3-314,2-16周(双) 星期五 第1-2节 致理楼L3-314,1-18周(单) 星期五 第1-2节 南区信工学院N607,"张力"
半导体物理,202020212160013000101,1-17周 星期四 第7-9节 致理楼L1-509,"吕雅利"
半导体物理,202020212160013000102,1-17周 星期五 第3-5节 致理楼L1-411,"吕雅利"
管理沟通,202020212040094000101,1-17周 星期一 第1-2节 汇文楼H1-105,"陈莉"
管理沟通,202020212040094000102,1-17周 星期一 第3-4节 汇文楼H3-503,"陈莉"
自动控制原理,202020212130241000201,1-17周 星期三 第6-8节 致理楼L1-206,"蔡良伟"
自动控制原理,202020212130241000202,1-17周 星期二 第6-8节 致理楼L3-409,"蔡良伟"
公司治理,202020212040520000101,1-17周 星期一 第1-2节 汇文楼H1-101,"曾宪聚"
数据采集与处理,202020212130322000101,1-17周 星期五 第1-2节 致理楼L3-315,"赵博"
中国区际法律问题研究,202020212030183000101,1-17周 星期二 第3-4节 汇文楼H1-202,"张淑钿"
世界政治导论,202020212040472000101,1-17周 星期一 第1-2节 汇文楼H1-405,"张万坤"
世界政治导论,202020212040472000102,1-17周 星期一 第3-4节 汇文楼H3-404,"张万坤"
房地产评估,202020212090051000101,1-17周 星期一 第3-4节 致理楼L2-407,"袁丽丽"
房地产评估,202020212090051000102,1-17周 星期一 第7-8节 致理楼L3-313,"袁丽丽"
实验心理学（1）,202020212120507000302,1-17周 星期四 第11-14节 致理楼L1-209,"乔垒"
高等数学C（2）,202020212190073000101,1-17周 星期三 第1-2节 汇文楼H3-401,1-18周(单) 星期五 第3-4节 汇文楼H3-401,"陈冬梅"
高等数学C（2）,202020212190073000102,1-17周 星期三 第1-2节 汇文楼H3-402,1-18周(单) 星期五 第3-4节 汇文楼H3-402,"黄超"
高等数学C（2）,202020212190073000103,1-17周 星期三 第1-2节 汇文楼H3-403,1-18周(单) 星期五 第3-4节 汇文楼H3-403,"孙晓丽"
高等数学C（2）,202020212190073000109,1-17周 星期三 第3-4节 汇文楼H3-401,1-18周(单) 星期五 第1-2节 汇文楼H3-401,"陈冬梅"
高等数学C（2）,202020212190073000110,1-17周 星期三 第3-4节 汇文楼H3-402,1-18周(单) 星期五 第1-2节 汇文楼H3-402,"黄超"
高等数学C（2）,202020212190073000111,1-17周 星期三 第3-4节 汇文楼H3-403,1-18周(单) 星期五 第1-2节 汇文楼H3-403,"孙晓丽"
高等数学C（2）,202020212190073000112,1-17周 星期三 第3-4节 汇文楼H3-301,1-18周(单) 星期五 第1-2节 汇文楼H3-301,"潘彬彬"
品牌管理,202020212040218000101,1-17周 星期三 第3-4节 汇文楼H3-202,"周志民"
品牌管理,202020212040218000102,1-17周 星期三 7-8节 汇文楼H3-404,"周志民"
油画2,202020212051026000101,1-15周 星期二 第7-10节 艺术学院L7-827,16周 星期五 第3-5节 艺术学院L7-827,1-15周 星期五 第3-5节 艺术学院L7-827,"KONSTANTIN DUDKO"
高等数学B（2）,202020212190321000101,1-17周 星期二 第1-2节 致理楼L1-103,1-17周 星期五 第3-4节 致理楼L1-103,"李兰"
高等数学B（2）,202020212190321000102,1-17周 星期二 第1-2节 致理楼L1-201,1-17周 星期五 第3-4节 致理楼L1-201,"张爱林"
高等数学B（2）,202020212190321000103,1-17周 星期二 第1-2节 致理楼L1-203,1-17周 星期五 第3-4节 致理楼L1-203,"罗鹏"
高等数学B（2）,202020212190321000104,1-17周 星期二 第7-8节 致理楼L1-103,1-17周 星期五 第1-2节 致理楼L1-103,"李兰"
高等数学B（2）,202020212190321000105,1-17周 星期二 第7-8节 致理楼L1-201,1-17周 星期五 第1-2节 致理楼L1-201,"张爱林"
渠道管理,202020212040236000101,1-17周 星期三 第3-4节 汇文楼H3-104,"袁靖波"
渠道管理,202020212040236000102,1-17周 星期三 第9-10节 汇文楼H1-501,"袁靖波"
渠道管理,202020212040236000103,1-17周 星期二 第7-8节 汇文楼H3-401,"袁靖波"
渠道管理,202020212040236000104,1-17周 星期二 第9-10节 汇文楼H1-205,"袁靖波"
定量遥感原理与应用,202020212100199000301,1-17周 星期二 第3-4节 汇紫楼C409,"石铁柱"
电子商务经济学,202020212040048000101,1-18周 星期四 第1-2节 汇文楼H1-303,"张灵莹"
电子商务经济学,202020212040048000102,1-18周 星期四 第3-4节 汇文楼H3-303,"张灵莹"
数理方程与特殊函数,202020212160100000101,1-17周 星期四 第6-8节 致理楼L3-508,"梁子贤"
数理方程与特殊函数,202020212160100000102,1-17周 星期三 第6-8节 致理楼L1-409,"杜戈果"
数理方程与特殊函数,202020212160100000103,1-17周 星期五 第3-5节 致理楼L1-209,"孙燕明"
数理方程与特殊函数,202020212160100000104,1-17周 星期四 第3-5节 致理楼L1-309,"孙磊"
土木工程施工,202020212090215000102,1-17周 星期一 第3-4节 致理楼L2-105,1-17周 星期三 第3-4节 致理楼L2-105,"王刚"
土木工程施工,202020212090215000103,1-17周 星期一 第7-8节 致理楼L3-414,1-17周 星期三 第9-10节 致理楼L3-414,"王刚"
土木工程施工,202020212090215000104,1-17周 星期一 第3-4节 致理楼L3-413,1-17周 星期三 第3-4节 致理楼L3-414,"李铭辉,高明忠"
土木工程施工,202020212090215000105,1-17周 星期二 3-4节 致理楼L1-115,1-17周 星期三 7-8节 致理楼L1-115,"张谦"
土木工程施工,202020212090215000106,1-17周 星期二 1-2节 致理楼L1-511,1-17周 星期五 7-8节 致理楼L1-115,"张谦"
SPSS应用,202020212040785000101,1-17周 星期一 第3-4节 金工坊205,"丁婉玲"
SPSS应用,202020212040785000102,1-17周 星期一 第7-8节 金工坊205,"丁婉玲"
SPSS应用,202020212040785000104,1-17周 星期四 第7-8节 金工坊205,"杨翩翩"
SPSS应用,202020212040785000105,1-17周 星期四 第9-10节 金工坊205,"杨翩翩"
SPSS应用,202020212040785000106,1-17周 星期三 第3-4节 金工坊205,"王丽艳"
SPSS应用,202020212040785000107,1-17周 星期三 第7-8节 金工坊205,"王丽艳"
CMOS模拟集成电路设计,202020212160224000101,1-17周 星期五 第3-5节 致理楼L3-409,"姜梅"
CMOS模拟集成电路设计,202020212160224000102,1-17周 星期一 第7-9节 致理楼L3-315,"张猛"
商法,202020212040265000101,1-17周 星期二 第7-8节 汇文楼H3-403,"贺斌"
商法,202020212040265000102,1-17周 星期二 第3-4节 汇文楼H3-301,"贺斌"
商法,202020212040265000103,1-17周 星期二 第13-14节 汇文楼H1-203,"贺斌"
交通工程学,202020212090156000101,1-17周 星期四 第3-5节 致理楼L1-501,"薛召杰"
通信电子线路,202020212130122000101,2-16周(双) 星期四 第7-8节 致理楼L1-609,1-18周(单) 星期四 第7-8节 南区信工学院N509,1-17周 星期二 第9-10节 致理楼L3-308,"冯大权"
通信电子线路,202020212130122000102,1-17周 星期一 第1-2节 致理楼L1-211,2-16周(双) 星期三 第1-2节 致理楼L3-508,1-18周(单) 星期三 第1-2节 南区信工学院N509,"罗雪晖"
通信电子线路,202020212130122000103,1-17周 星期一 第3-4节 致理楼L3-508,2-16周(双) 星期三 第3-4节 致理楼L1-309,1-18周(单) 星期三 第3-4节 南区信工学院N509,"罗雪晖"
外国美术通史,202020212120589000101,1-17周 星期一 第7-9节 师院A304,"云雪梅"
数据库原理及应用,202020212190199002401,1-17周 星期二 第3-4节 汇紫楼C311,1-17周 星期四 第9-10节 汇文楼H6-104,"郑海虹"
数据库原理及应用,202020212190199002402,1-17周 星期二 第7-8节 汇紫楼C311,1-17周 星期四 第7-8节 汇文楼H6-104,"郑海虹"
数据库原理及应用,202020212190199002403,1-17周 星期三 第7-8节 汇紫楼C409,"黄俊联"
Python程序设计,202020212150444000101,1-18周 星期五 第7-8节 致理楼L1-202,1-18周 星期五 第9-10节 南区计算机大楼418,"潘浩源"
工程招投标与合同管理,202020212090250000101,1-17周 星期四 第9-10节 致理楼L2-107,"李景茹"
室内设计,202020212100113000201,1-17周 星期三 第1-2节 建筑楼C205,1-17周 星期三 第3-4节 建筑楼C205,"宋向阳,吴昆,温克寒"
蜂窝移动通信,202020212130224000201,1-17周 星期五 第3-4节 致理楼L3-312,1-18周(单) 星期五 第9-10节 南区信工学院N501,"林晓辉"
蜂窝移动通信,202020212130224000202,2-16周(双) 星期五 第9-10节 南区信工学院N501,1-17周 星期五 第7-8节 致理楼L3-314,"林晓辉"
公文写作与处理,202020212010107000101,1-17周 星期五 第7-8节 汇文楼H1-203,"张木荣"
古代汉语（1）,202020212120188000101,1-17周 星期三 第1-2节 师院A304,"卞仁海"
清代名家诗导读,202020212010686000101,1-17周 星期二 第9-10节 汇文楼H3-504,"沈金浩"
社会保障学,202020212040829000101,1-17周 星期一 第1-2节 汇文楼H1-205,"张转玲"
社会保障学,202020212040829000102,1-17周 星期一 第3-4节 汇文楼H3-502,"张转玲"
